WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Talnakh,69.4865,88.3972,-27.83,71,0,2.89,RU,2021-02-07 09:31:23
169,Dingle,10.9995,122.6711,77.38,88,49,10.33,PH,2021-02-07 09:31:45
170,Ponta Delgada,37.7333,-25.6667,60.01,94,75,24.16,PT,2021-02-07 09:35:26
171,Butaritari,3.0707,172.7902,81.37,81,57,18.43,KI,2021-02-07 09:31:47
172,Kutum,14.2,24.6667,71.55,20,24,14.81,SD,2021-02-07 09:35:26
173,Hithadhoo,-0.6,73.0833,82.74,70,60,10.94,MV,2021-02-07 09:31:47
174,Tarifa,36.0139,-5.607,55.4,82,20,20.71,ES,2021-02-07 09:34:44
175,Reconquista,-29.15,-59.65,62.33,74,0,5.23,AR,2021-02-07 09:35:15
176,Manta,-0.95,-80.7333,77.0,88,90,4.61,EC,2021-02-07 09:35:02
177,Avera,33.194,-82.5271,39.2,94,90,4.61,US,2021-02-07 09:31:58
178,Dandong,40.1292,124.3947,20.75,84,0,15.48,CN,2021-02-07 09:31:45
179,Bambui,-20.0064,-45.9769,68.41,90,79,2.26,BR,2021-02-07 09:35:27
180,Goure,13.9835,10.2704,75.99,15,51,8.01,NE,2021-02-07 09:35:27
181,Xam Nua,20.4197,104.0439,71.94,63,69,3.4,LA,2021-02-07 09:35:27
182,Savannah Bight,16.45,-85.85,79.0,90,0,3.0,HN,2021-02-07 09:35:27
183,College,64.8569,-147.8028,-4.0,71,75,2.21,US,2021-02-07 09:32:07
184,Eregli,37.5133,34.0467,61.81,29,0,3.04,TR,2021-02-07 09:35:27
185,Akdepe,42.0551,59.3788,53.6,66,0,11.5,TM,2021-02-07 09:35:28
186,Kaitangata,-46.2817,169.8464,61.0,90,31,3.0,NZ,2021-02-07 09:32:10
187,Nemuro,43.3236,145.575,17.6,73,75,6.91,JP,2021-02-07 09:35:28
188,Selishche,56.8879,33.2691,9.82,94,100,10.02,RU,2021-02-07 09:35:28
189,Luzhou,28.8724,105.4405,65.66,39,83,3.98,CN,2021-02-07 09:35:20
190,Lompoc,34.6391,-120.4579,55.0,100,90,4.61,US,2021-02-07 09:31:38
191,Gohpur,26.8833,93.6333,80.6,41,20,3.44,IN,2021-02-07 09:35:28
192,Geraldton,-28.7667,114.6,73.4,73,75,19.57,AU,2021-02-07 09:33:15
193,Weligama,5.9667,80.4167,84.51,68,41,3.51,LK,2021-02-07 09:35:29
194,Salalah,17.0151,54.0924,78.8,53,75,11.5,OM,2021-02-07 09:30:39
195,Kamiiso,41.8167,140.65,24.8,58,40,19.57,JP,2021-02-07 09:35:29
196,Flinders,-34.5833,150.8552,72.0,76,33,1.01,AU,2021-02-07 09:31:29
197,Ilhabela,-23.7781,-45.3581,72.88,80,52,3.18,BR,2021-02-07 09:34:48
198,Kihei,20.785,-156.4656,64.99,77,20,5.19,US,2021-02-07 09:35:29
199,Bubaque,11.2833,-15.8333,74.91,49,25,18.81,GW,2021-02-07 09:31:39
200,Sitka,57.0531,-135.33,28.4,74,75,4.61,US,2021-02-07 09:31:55
201,Wakkanai,45.4094,141.6739,6.8,85,20,4.61,JP,2021-02-07 09:30:44
202,Kosa,59.9445,54.9977,-8.1,89,100,8.37,RU,2021-02-07 09:35:30
203,Yerbogachen,61.2767,108.0108,12.92,96,100,7.63,RU,2021-02-07 09:32:07
204,Bedesa,8.9,40.7833,67.66,54,88,4.07,ET,2021-02-07 09:34:19
205,Surt,31.2089,16.5887,72.72,26,100,15.99,LY,2021-02-07 09:34:52
206,Faanui,-16.4833,-151.75,82.04,73,23,11.83,PF,2021-02-07 09:32:01
207,Naze,28.3667,129.4833,60.8,67,20,4.61,JP,2021-02-07 09:32:02
208,Rio Grande,-32.035,-52.0986,66.0,97,4,6.02,BR,2021-02-07 09:34:51
209,Hami,42.8,93.45,42.91,53,0,4.38,CN,2021-02-07 09:35:31
210,Ust-Ilimsk,58.0006,102.6619,26.76,97,100,7.67,RU,2021-02-07 09:35:31
211,Provideniya,64.3833,-173.3,-4.22,79,0,13.29,RU,2021-02-07 09:31:44
212,Beloha,-25.1667,45.05,89.28,54,74,7.85,MG,2021-02-07 09:35:25
213,Hokitika,-42.7167,170.9667,58.77,85,0,2.06,NZ,2021-02-07 09:35:32
214,Petrolina,-9.3986,-40.5008,77.0,78,0,3.44,BR,2021-02-07 09:34:51
215,Shimorskoye,55.3244,42.0267,1.27,90,99,11.32,RU,2021-02-07 09:35:32
216,Serov,59.6033,60.5787,-8.95,91,100,5.77,RU,2021-02-07 09:35:20
217,Eastbourne,50.7687,0.2845,34.0,93,100,4.0,GB,2021-02-07 09:35:32
218,Awjilah,29.1081,21.2869,74.86,22,60,13.67,LY,2021-02-07 09:35:32
219,Milkovo,54.7167,158.6167,22.93,96,100,6.13,RU,2021-02-07 09:35:33
220,Broome,42.2506,-75.833,19.4,45,1,6.91,US,2021-02-07 09:32:07
221,China,25.7,-99.2333,58.1,37,0,3.04,MX,2021-02-07 09:35:33
222,Sambava,-14.2667,50.1667,85.03,64,72,8.32,MG,2021-02-07 09:31:38
223,Ancud,-41.8697,-73.8203,51.01,81,0,3.44,CL,2021-02-07 09:31:35
224,Anadyr,64.75,177.4833,-7.01,71,0,4.47,RU,2021-02-07 09:32:35
225,Fortuna,40.5982,-124.1573,46.99,100,90,4.34,US,2021-02-07 09:32:28
226,Mandalgovi,45.7625,106.2708,16.34,80,0,9.35,MN,2021-02-07 09:34:41
227,Esmeralda,21.8525,-78.1169,69.8,100,0,4.61,CU,2021-02-07 09:35:34
228,Hammerfest,70.6634,23.6821,24.8,86,75,20.71,NO,2021-02-07 09:35:34
229,Elesbao Veloso,-6.2019,-42.1403,75.11,79,77,1.52,BR,2021-02-07 09:35:34
230,Sistranda,63.7256,8.834,21.2,93,40,9.22,NO,2021-02-07 09:32:17
231,Glendive,47.1053,-104.7125,-9.4,70,90,16.11,US,2021-02-07 09:35:34
232,Rawson,-43.3002,-65.1023,57.16,64,100,11.81,AR,2021-02-07 09:31:45
233,Kavieng,-2.5744,150.7967,83.59,75,50,8.52,PG,2021-02-07 09:31:56
234,Brownsville,25.9018,-97.4975,55.4,94,90,3.44,US,2021-02-07 09:35:34
235,Casa Nova,-9.4167,-41.1333,77.0,78,0,3.44,BR,2021-02-07 09:35:34
236,Yulara,-25.2406,130.9889,96.8,15,0,12.66,AU,2021-02-07 09:32:27
237,Marzuq,14.4,46.4667,78.22,22,50,8.46,YE,2021-02-07 09:35:35
238,Cabatuan,10.8794,122.486,77.45,86,45,12.86,PH,2021-02-07 09:35:35
239,Klyuchi,52.2667,79.1667,27.09,93,34,18.61,RU,2021-02-07 09:35:35
240,Guerrero Negro,27.9769,-114.0611,56.44,71,1,2.57,MX,2021-02-07 09:32:42
241,Desbiens,48.4178,-71.9495,14.0,72,20,6.91,CA,2021-02-07 09:35:35
242,Westport,41.1415,-73.3579,33.01,69,1,5.75,US,2021-02-07 09:35:36
243,Kousseri,12.0769,15.0306,80.6,12,31,11.5,CM,2021-02-07 09:35:36
244,Tyup,42.7276,78.3648,36.66,79,93,3.47,KG,2021-02-07 09:35:36
245,Tiksi,71.6872,128.8694,-26.77,84,100,6.6,RU,2021-02-07 09:31:56
246,Eydhafushi,5.1033,73.0708,81.63,75,19,12.75,MV,2021-02-07 09:35:36
247,Emerald,-23.5333,148.1667,84.99,89,96,6.91,AU,2021-02-07 09:35:36
248,Mana,5.6592,-53.7767,76.08,89,99,10.69,GF,2021-02-07 09:35:36
249,Vytegra,61.0064,36.4481,-0.38,88,17,8.14,RU,2021-02-07 09:35:37
250,Airai,-8.9266,125.4092,63.82,100,98,1.36,TL,2021-02-07 09:31:31
251,Tongren,27.7172,109.1853,57.02,81,100,4.83,CN,2021-02-07 09:34:08
252,Sinnamary,5.3833,-52.95,77.05,87,98,13.51,GF,2021-02-07 09:31:53
253,Tuatapere,-46.1333,167.6833,55.65,87,79,3.0,NZ,2021-02-07 09:31:35
254,Sabla,12.7525,4.7077,85.93,13,51,15.41,NG,2021-02-07 09:35:37
255,Hasaki,35.7333,140.8333,54.0,47,20,4.61,JP,2021-02-07 09:27:23
